인덱스,코드,구분,FAQ 답변 ,FAQ  질문 ,tag,link_url_adr
1,,111,11015계좌별 매체발급내역을 조회하여 신청하는 계좌외에 체크카드 정상발급계좌가 있는지 확인 합니다. 체크카드는 명의당 1장만 발급가능합니다.,"Q1. ""이미발급된 카드가 있습니다"" 오류로 처리가 불가한데요. 어떻게 하나요?",,
2,,111,"영업점에서만 부여 가능하며, [11235]화면에서 1회용 추가인증번호를 발급하시면 됩니다..",Q1. 1회용 인증번호 부여는 어디서 하나요?,,
3,,111, 계좌주가 외국인일 경우만 영문 성명을 기재합니다,Q1. FATCA 본인확인서 작성시 영문 성명 기재 대상은 어떻게 되나요?,,
4,,111,이수전용계좌 개설시 선택한 가입일은 수정 불가합니다.,Q1. 계좌가입일은 수정 가능 한가요?,,
5,,111,계좌의 관리점에서 조회 되며 사절원 신청 계좌만 조회 됩니다.,Q1. 계좌주통보 대상계좌 기준은 어떻게 되나요?,,
6,,111,공인인증서는 당사에서 발급하는것이 아니므로 인증센터 콜센터로 전화하여 명의변경을 위한 서류를 받아 작성 후 인증센터로 발송 합니다.,Q1. 공인인증서 명의변경절차는 어떻게 되나요?,,
7,,111,내방시는 휴대폰 본인인증 절차를 진행하지 않습니다.(유선으로 휴대폰 번호 변경 시 본인인증 절차를 거쳐 본인명의 휴대폰인 경우만 변경 가능합니다.),Q1. 내방시 휴대폰번호 변경시도 본인인증을 해야하나요?,,
8,,111,단말기지정 서비스만 가입한 고객의 경우 100만원 미만 자금이체 시에도 지정된 단말기에서만 가능합니다.,Q1. 단말기지정 서비스만 가입한 고객이 100만원 미만 자금이체시도 지정된 단말기에서만 가능 한가요?,,
9,,111,"종합매매(11), 금융상품(20~29), 파생상품(선물옵션(30)), 세금우대(41), 생계형(42), 재형저축(43), 연금저축(45)(이수전용포함) 이 가능합니다.",Q1. 모바일계좌개설 가능한 상품은 어떻게 되나요?,,
10,,111,"네, 미성년자도 대표상속인이 될 수 있습니다.",Q1. 모바일계좌개설 가능한 상품은 어떻게 되나요?,,
11,,111,"국적변경과 실명번호 변경이력을 화인 할 수 있는 서류로 동일인 여부를 확인 후 업무처리 해야 하므로 실명확인증표, 주민등록초본(국적 말소 등록 표시), 거래인감, 구실명번호가 표시된 국내거소사실증명원이 필요합니다. ",Q1. 외국국적에서 대한민국으로 국적이 변경된 경우 명의변경을 위한 징구서류는 어떻게 되나요?,,
12,,111,"공인인증서 발급/재발급, 타기관인증서 등록, 1일누적기준 300만원이상 이체거래(1일누적 기준금액 100만원 이상으로 한시적으로 확대 적용)",Q1. 적용대상 거래는 어떻게 되나요?,,
13,,111,"매매 불가합니다. 단, 질권설정자와 질권자가 합의하여 매매허용등록을 하면 등록 당일만 매매 가능합니다.",Q1. 질권설정 후 매매는 가능 한가요?,,
14,,111,입고는 불가능 합니다. 입금만 가능합니다.,Q1. 타계좌에서 입고 가능 한가요?,,
15,,111,재발급시만 '타기관 자동들록'선택이 가능하고 당사OTP를 등록하여 사용하고 있는 타기관에 고객이 내방하지 않고 온라인에서 새로발급한 OTP를 등록 할수 있습니다.,Q1. 타기관 자동등록 이란 어떤 업무인가요?,,
16,,111,아닙니다. 고객이 온라인상에서 신규OTP를 등록 해야 합니다. 타기관 자동등록을 선택하지 않은 경우는 온라인상에서 등록이 불가하여 고객이 내방하여 기존 OTP를 해지 후 재등록 해야 합니다. ,Q2. OTP재발급시에 '타기관자동등록'선택을 하면 다른기관에도 모두 재발급 처리가 자동으로 되나요?,,
17,,111,"온라인 : 보안카드(OTP)번호를 통한 확인
고객지원센터 : 11008 공인인증서 신원확인 화면에서 처리하며 고객정보를 2항목 이상 확인
영업점 내방 : 정보변경신청서 작성 후 11008 공인인증서 신원확인 화면에서 처리, 보안매체 보유 고객은 온라인에서 처리해야 함",Q2. 공인인증서 재발급시 신원확인 밥법은 어떻게 되나요?,,
18,,111,출입국 관리사무소에서 발급가능합니다.,Q2. 국내거소사실증명원은 어디에서 발급 가능 한가요?,,
19,,111,"네, 당해년도 납입액은 12464 화면 등록전까지 수정 가능합니다.",Q2. 당해년도 납입액은 수정 가능 한가요?,,
20,,111,"모계좌 기준 가장 최근에 개설된 계좌의 관리점에서 조회 됩니다. 
의원폐쇄된 자계좌는 조회대상 계좌에서 제외됩니다.
계좌주 계좌가 사절원 계좌가 아닌 경우만 조회됩니다",Q2. 대리인통보 대상계좌 기준은 어떻게 되나요?,,
21,,111,5대까지 등록 가능입니다.,Q2. 등록가능 단말기수는 어떻게 되나요?,,
22,,111,08:00 ~ 20:00(영업일만 가능),Q2. 모바일계좌개설 가능한 시간은 어떻게 되나요?,,
23,,111,"계좌주가 미국인일 때 계좌주의 미국납세자등록번호(사회보장번호(Social Security Number), 고용주식별번호(Employer Identification Number), 개인납세자번호(Individual Taxpayer Identification Number))를 기재합니다..",Q2. 미국인일때 미국납세자등록번호 작성 방법은 어떻게 되나요?,,
24,,111,대표상속인이 내방하지 못하는 경우의 징구서류와 법정대리인의 인감증명서를 추가 징구해야 합니다. ,Q2. 미성년자가 대표상속인 일때 징구서류는 어떻게 되나요?,,
25,,111,발급 후 1회만 사용 가능하며 1회용 인증번호 연속 5회 오류 시 사용이 불가합니다,Q2. 발급된 1회용 인증번호는 여러 번 사용이 가능한가요?,,
26,,111,"질권설정된 유가증권에서 발생된 권리도 질권자의 권리이므로 출금은 불가합니다.  질권자가 출금 할 수 있도록 동의 하는 경우에 한해 출금 가능하며 ""질물의 과실수령권자에 관한 확약서""를 징구하고 처리해야 합니다. ",Q2. 배당금이 지급되면 출금은 가능한가요?,,
27,,111,체크카드는 한글이름만 발급 가능하므로 고객등록 화면에 한글명을 입력해야 합니다. (한글6자리까지 가능),Q2. 외국인 계좌인데 카드 발급이 안되는데요 . 어떻게 하나요?,,
28,,111,개인고객만 적용됩니다.,Q2. 적용대상 고객은 어떻게 되나요?,,
29,,111,계약금액내에서 입금가능하고 계약금액만큼 한번이라도 입금한 계좌는 출금하여도 차액만큼 추가입금 불가합니다. ,Q2. 출금액 만큼 재입금 가능 한가요?,,
30,,111,본인명의 휴대폰이 아닌 경우는 고객지원센터를 통해 본인 확인 후 변경 가능합니다.,Q2. 휴대폰 명의가 본인명의가 아닌 경우 유선으로 정보변경이 가능한가요?,,
31,,111,12464 화면 연금정보사항 옆에 파란 물음표를 클릭하면 입력방법을 확인 할 수 있습니다. 과세제외금액 = 당해년도 납입액 + 년도별 소득공제 초과 불입액,"Q3. ""과세제외금액을 확인하세요"" 오류로 처리 안됩니다. 어떻게 하나요?",,
32,,111,"체크카드사에서 보내온 메시지입니다. 연속번호, 같은번호, 핸드폰번호, 실명번호와 일치하는 번호가 있는지 확인 후 처리하세요","Q3. ""비밀번호 오류 입니다"" 메시지로 카드 발급이 안됩니다. 어떻게 하나요?",,
33,,111,전자금융사기 예방서비스를 신청하신 고객만 적용됩니다.,Q3. OTP 보유고객도 이체시 적용 대상인가요?,,
34,,111,국적변경으로 실명번호를 새로 부여 받기전 구실명번호를 확인하기 위해서 필요합니다. ,Q3. 국내거소사실증명원은 왜 필요 한가요?,,
35,,111,"이미 사전에 지정되어 있는 PC에서만 가능합니다. 예)이용PC를 2대 이상 등록한 경우 단말기 지정된 PC에서만 해지가 가능하며, 최종 등록된 1대의 지정을 해지하고자 하는 경우는 지정된 PC에서만 가능합니다.",Q3. 단말기 지정 해지 방법은 어떻게 되나요?,,
36,,111,"기본 징구서류와 위임여부 확인을 위한 추가서류를 징구하셔야 합니다. 
추가징구서류는 대리인 실명확인증표, 대표상속인 인감증명서, 대표상속인 위임장 입니다. ",Q3. 대표상속인이 내점하지 못할 경우 징구서류는 어떻게 되나요?,,
37,,111,"내국인 개인(본인)만 가능하며, 법인 및 단체, 미성년자, 외국인은 불가합니다.",Q3. 모바일계좌개설 가능한 대상 고객은 어떻게 되나요?,,
38,,111,"미국 시민권자(U.S. Citizen), 미국 영주권자(U.S. Permanent Residents), 미국 IRS Substantial Presence Test를 충족한 미국 거주자입니다.",Q3. 미국인 여부 대상 고객은 어떻게 되나요?,,
39,,111,"외국국적자인 경우나 해외체류자는 예외적용이 가능합니다.
외국국적자는 영업점 내방하여 신청하시면 가능하며, 해외체류자인 경우는 해외 IP로 접속하여 법무부의 출국정보가 확인된 경우 예외 적용이 가능합니다.",Q3. 전자금융사기 예방서비스 예외 적용이 가능한가요?,,
40,,111,불입한 납입총액 이하로 감액 불가합니다.,Q3. 출금액 만큼 계약금액을 줄일 수 있나요?,,
41,,111,상대사에 등록되어 있던 연합회 정보와 달라서 발생하는 오류입니다. 11055은행연합회 세금우대 조회화면에서 계좌 가입일과 계약금액을 확인 후 처리합니다.,"Q4. ""연합회 정보오류""로 처리 불가합니다. 어떻게 하나요?",,
42,,111,"지정된 단말기 외에 미지정된 단말기도 사용하는 것을 허용한다는 의미입니다.
- 즉, 지정된 단말기에서는 추가인증 없이 거래가 가능하며, 미지정된 단말기에서 공인인증서 발급/재발급 및 100만원 이상 이체 시에는 추가인증 또는 단말기 추가지정 후 거래하시면 됩니다.(단 100만원 미만 이체 시는 추가인증 불필요)( 1일누적 기준금액 100만원 이상으로 한시적으로 확대 적용)",Q4. 단말기지정서비스와  추가인증서비스를 중복 선택하는 경우 지정된 단말기에서도 추가인증을 해야하나요?,,
43,,111,"HTS, MTS, ARS, 등록계좌이체(타사), 알리미서비스(기본), 보안카드 발급 신청이 가능합니다.",Q4. 모바일계좌개설시 가능한 서비스 등록은 어떻게 되나요?,,
44,,111,유효성을 확인할 수는 없습니다.,Q4. 본인이 미국인으로 FATCA본인확인서에 입력한 납세자번호에 대한 유효성 확인절차가 있나요?,,
45,,111,"모든경우가 그렇지는 않습니다. 
상속인중 일부가 이민, 장기해외거주, 행방불명, 질병 등의 사유로 내방하지못하는 사유를 증빙한 경우만 상속인의 50%이상에 해당하는 징구서류만 징구하고 업무처리 가능합니다.",Q4. 예탁자산이 500만원이하이면 상속인의 50%이상에 해당하는 징구서류만 징구해도 되나요?,,
46,,111,"적용되지 않습니다. 당사 본인계좌 및 등록계좌출금서비스(당사, 타사)에 등록된 계좌로 이체시는 전자금융사기 예방서비스에 가입하지 않아도 이체가 가능하며, 전자금융사기 예방서비스에 가입하셔도 추가인증 절차 없이 이체가 가능합니다.",Q4. 이체시 당사 본인계좌 및 등록계좌출금서비스에 등록된 계좌로 이체시도 적용 되나요?,,
47,,111,"단말기지정 서비스와 추가인증 서비스를 제공하고 있습니다. 고객이 원하는 인증방법을 선택할 수 있으며, 고객이 하나만 선택할 수도 있고 중복 선택할 수도 있습니다.",Q4. 전자금융사기 예방서비스에서 제공되는 서비스는 어떻게 되나요?,,
48,,111,카드 자체의 제작불량으로 카드번호가 상이한 경우 입니다. 오류재발급 처리 하셔야 합니다. ,"Q4. 카드가 카드발급기에서는 정상 발급되었는데 ""카드번호를 확인하세요""라고 메시지가 뜨는데요. 어떻게 하나요?",,
49,,111,"불가능합니다. ELS,DLS,채권만 거래가능합니다.",Q4. 펀드 가입이 가능 한가요?,,
50,,111,불입한 금액 기준으로 계약금액한도내에서 세제혜택 가능하므로 이익금을 출금하지 않고 계좌에 유지한다면 이익금도 세제혜택 가능합니다. ,Q5. ELS에서 발생한 이익금도 세제혜택이 가능 한가요?,,
51,,111,FATCA본인확인서만 받으시면 됩니다,"Q5. 개인의 경우 고객이 스스로 영주권자, 시민권자 등 미국인이라고 증명했을 경우 이 경우에도 미국인임을 확인하는 서류를 증빙해야 되나요?",,
52,,111,"“직접교부”, “FAX”교부인 경우 확인서는 계좌개설일로부터 5영업일 이내에 제공해야 합니다.",Q5. 모바일계좌개설 후 계좌개설 확인서 제공 기한은 어떻게 되나요?,,
53,,111,"본인확인정보 2가지 + 휴대폰 SMS 인증 또는 2채널인증(ARS)시 재발급이 가능합니다.(본인확인정보 2가지는 온라인 정보변경화면에서 등록/변경 가능)
휴대폰SMS 인증은 당사에 등록된 휴대폰번호로 SMS인증(본인명의가 아닌 경우 가능)",Q5. 보안매체 미소지고객인데 공인인증서 재발급이 가능한가요?,,
54,,111,"휴대폰SMS 인증, 2채널인증(ARS), 1회용인증번호(영업점에서 발급(부여))",Q5. 전자금융사기 예방서비스에서 추가인증 방법은 어떻게 되나요?,,
55,,112,일반형으로 전환은 불가능합니다. 일반형은 선취가 있는 구조로 현재 선취가 있는 상품은 전환이 제어되고 있어 자문사를 변경하고 싶으신 경우에는 기본형으로 전환하셔야 합니다.,Q1. Wrap 상품의 전환기준은 무엇인가요?,,
56,,112,"기본형과 일반형은 수수료 구조 차이로 구분합니다. 기본형은 후취 2.6%, 일반형은 선취 1.0%+후취1.6%로 선취는 입금일 익일 징수되고, 후취는 매일 평가금액을 기준으로 일일 계산하여 분기마다 정기 징수합니다.(1,4,7,10월 첫 영업일)",Q1. Wrap상품 유형 중 기본형과 일반형의 차이는 무엇인가요?,,
57,,112,투자일임업 규정에 의해 분기 1회이상 반드시 투자자정보 확인을 처리해주셔야 합니다. 이는 최근 금융감독원에서 종합검사 시 또는 민원 발생시 매우 중요한 사항으로 인지되고 있는 상황입니다. 또한 투자일임 투자권유준칙에 따라 부적격 등급 고객은 Wrap 가입이 불가하므로 기존 고객의 투자정보 확인 처리시 보유하고 계신 Wrap투자자유형이 안내(팝업)되고 있으므로 유의하여 처리를 해주시기 바랍니다.,Q1. Wrap상품의 분기성향분석은 모든 Wrap 상품을 각각 해야 하나요?,,
58,,112,"청산해지는 자산을 전부 매도하여 현금으로 해지하는 것이고, 일반해지는 매도하지  않고 자산을 보유한 채 해지 처리하는 것을 말합니다.",Q1. Wrap해지시 일반해지와 청산해지의 차이는 무엇입니까?,,
59,,112,"고객정보동의서(미청약시만), 금융소비자에 대한 강화된 설명확인서를 징구하시면 됩니다.",Q1. 가입설계 후 고객에게 징구해야 하는 서류는 무엇인가요?,,
60,,112,"- 방카시스템 > 계약관리 > 출력물관리 > [4124] 출력물 재발생 메뉴에서 가입설계서, 신 계약 청약서, 부활청약서, 지급신청서, 적합성 결과지의 재발행이 가능합니다.",Q1. 가입설계서 및 청약서를 다시 출력할수 있나요?,,
61,,112,"- 보험증권을 모르는 경우 : 방카시스템 > 계약관리 > 계약조회 > [4101]
보험계약목록조회 화면에서 해당 고객을 조회 후 증권번호 선택하여 계약상세조회 클릭하시면 됩니다.",Q1. 고객의 보험 계약 건 문의가 왔는데 보험증권번호를 모릅니다. 어떻게 조회를 해야 할까요?,,
62,,112,"- ‘단위형’, ‘지점운용형(성과보수형)’ 상품만 하시면 됩니다.",Q1. 만기 갱신처리는 모든 Wrap상품을 해야 하나요?,,
63,,112,"- 이글프로 좌측 상단 아이콘 중 ""B""  선택 또는 인터넷 창에 주소직접입력 
http://banca.koreastock.co.kr/scrt/loginMain.mvc",Q1. 방카시스템 접속은 어떻게 하나요?,,
64,,112,"- 신탁상품은 일반금융상품과 달리 계약을 하는 상품이며, 이에 계약서를 2부 작성하여, 1부씩 나누어 보관하는 것입니다.",Q1. 신탁 신규 계약 시 계약서를 왜 2부 작성하나요?,,
65,,112,"지정형과 비지정형의 차이는 “금융투자업규정”의 신탁의 운용지시 방법으로 구분됩니다. 지정형은 운용하는 종목 및 비율을 특정해서 지정하는 것이고, 비지정형은 운용하는 종목이 아닌 상품군 등으로 지정하는 것입니다.",Q1. 신탁상품유형의 지정형과 비지정형의 차이는 무엇인가요?,,
66,,112,해당 모집 PB의 이동지점으로 관리지점이 자동 변경됩니다.,Q1. 지점에서 지점으로 인사발령이 났습니다. 보험계약은 발령 전 지점에 그대로 있나요? 나 퇴직이 있는 경우 보험계약 관리는 어떻게 되나요?,,
67,,112,"출금일은 신탁파트에서 출금가능일을 예상하여 지정하며 접수된 해지신청계약은 운용자산 매도 등의 현금화 업무를 진행하며, 자산별로 현금화 되는 일자가 변동 될 수 있기 때문에 예상한 출금일자는 변경 될 수 있습니다.",Q1. 특정금전신탁 해지신청(출금)시 언제 출금되나요?,,
68,,112,"- 신탁상품의 예약업무는 예약가능시간에 예약금애기 1차로 소진된 시점에 자동으로 예약마감(예약가능여부 체크가 없음)이 되고, 예약신청업무가 불가능해집니다. 그러나 예약 마감 후에 예약된 지점에서 예약금액을 취소하게 되면 취소한 만큼 예약가능 금액이 표시됩니다.",Q1. 특정금전신탁예약신청 화면에 예약가능금액이 있는데 왜 예약신청이 안되나요?,,
69,,112,"신탁은 도관이론을 적용하여 직접 투자하는 것처럼 세금을 과세합니다. 즉, 운용된 자산거래별로 운용자산의 성격에 따라 세법을 적용하여 이자소득, 배당소득 등으로 과세하고 원천징수를 합니다.",Q1. 특정금전신탁의 원천징수는 어떻게 하나요?,,
70,,112,"Wrap 상품 보유고객 중 분기 투자성향분석이 안되신 고객은 만기연장이나 전환신청, 신규 계약 시 자동팝업이 발생합니다.",Q2. Wrap 만기 연장하려고 하는데 투자 성향하라는 팝업이 떴습니다. 만기 연장시마다 투자성향을 해야 하나요?,,
71,,112,"전환은 같은 유형내에서만 가능합니다. 예를 들어 자문형 내에서의 전환은 가능하지만 ETF랩에서 자문형으로의 전환은 불가능합니다. 이는 운용구조, 수수료 등이 다르기 때문에 계약을 통해 관련 내용을 재확인하는 가입 절차를 거치셔야 합니다.",Q2. Wrap 일반형상품으로 전환은 안되나요?,,
72,,112,- 2013년 10월 이후 계약되거나 방카시스템에서 신청서를 출력하여 지급된 건에 대해서만 재인쇄가 됩니다.,Q2. 과거에 가입한 가입설계서와 청약서가 재인쇄 되지 않습니다. 어느 화면에서 출력해야 하나요?,,
73,,112,- 현재 Wrap은 약관상 자동 연장 조항에 따라 만기 1달전 만기 예정 통지를 한 후(고객 고지사항 포함) 자동연장 처리되고 있습니다.,Q2. 만기 갱신처리는 자동으로 되나요?,,
74,,112,관리자 미지정 계약 건 자산 및 수익에 반영되지 않습니다. 해당 지점에서 관리자를 지정하면 관리지점 및 관리 PB의 자산 및 수익에 반영됩니다.,Q2. 모집PB가 지점에서 본사로 인사발령이 나거나 퇴사시에 지점수익에는 문제없이 반영되나요?,,
75,,112,"아니요. 소속지점 업무팀장, 텔러, 지점장님 모두 조회가능합니다.",Q2. 방카슈랑스 계약은 관리자만 가능한가요?,,
76,,112,- 이글프로 접속 사번과 비밀번호를 사용하므로 이글프로 비밀번호 초기화요청 해야합니다. [이글오피스 > 업무 > 전자결재 > 작성 > 전산 > EAGLE PRO 사용자 권한신청],Q2. 방카시스템 접속시 비밀번호 오류가 5회났습니다. 어떻게 처리해야할까요?,,
77,,112,- 일반 상품 출력물에 “적합성 진단지(결과표)”를 추가 징구 하시면 됩니다.,Q2. 변액상품인 경우 고객 징구 서류가 다른가요?,,
78,,112,지정형 상품은 일반투자자성향으로도 투자가능하며 비지정형 상품인 경우에만 투자일임/금전신탁 투자자성향이 등록되어야 투자가 가능합니다.,Q2. 신탁상품은 투자일임/금전신탁 투자자성향이 등록되어 있어야 하나요?,,
79,,112,신탁은 과세의 이연을 없애고자 세법에서 원천징수특례라는 조항[소득세법 제155조의 2]을 두고 있습니다.  원천징수특례라 함은 신탁수익자(고객)에게 신탁재산에 귀속된 신탁이익을 지급하지 않아도 신탁재산을 운용하면서 소득이 신탁재산내에 귀속(발생확정)되면 3개월이내(동일년도 이내로 한정)에 원천징수를 해서 세금을 납부해야 한다는 규정입니다.,Q2. 신탁의 원천징수 특례란 무엇인가요?,,
